09:00:00, 361, 0, 1
09:00:10, 362, 2, 3
09:00:20, 363, 2, 4
09:00:30, 364, 0, 4
09:00:40, 365, 3, 5
09:00:50, 366, 0, 2
09:01:00, 367, 4, 2
09:01:10, 368, 1, 2
09:01:20, 369, 4, 1
09:01:30, 370, 2, 1
09:01:40, 371, 2, 1
09:01:50, 372, 1, 4
09:02:00, 373, 5, 4
09:02:10, 374, 2, 0
09:02:20, 375, 0, 3
09:02:30, 376, 5, 0
09:02:40, 377, 5, 3
09:02:50, 378, 1, 5
09:03:00, 379, 2, 1
09:03:10, 380, 0, 4
09:03:20, 381, 5, 0
09:03:30, 382, 1, 5
09:03:40, 383, 3, 4
09:03:50, 384, 0, 1
09:04:00, 385, 0, 3
09:04:10, 386, 4, 3
09:04:20, 387, 1, 4
09:04:30, 388, 2, 3
09:04:40, 389, 1, 2
09:04:50, 390, 2, 1
09:05:00, 391, 2, 3
09:05:10, 392, 4, 5
09:05:20, 393, 0, 3
09:05:30, 394, 4, 1
09:05:40, 395, 2, 1
09:05:50, 396, 4, 3
09:06:00, 397, 5, 4
09:06:10, 398, 1, 0
09:06:20, 399, 0, 2
09:06:30, 400, 4, 5
09:06:40, 401, 4, 0
09:06:50, 402, 5, 2
09:07:00, 403, 2, 3
09:07:10, 404, 2, 0
09:07:20, 405, 2, 5
09:07:30, 406, 5, 2
09:07:40, 407, 0, 5
09:07:50, 408, 3, 2
09:08:00, 409, 3, 2
09:08:10, 410, 2, 0
09:08:20, 411, 3, 4
09:08:30, 412, 1, 4
09:08:40, 413, 2, 1
09:08:50, 414, 2, 3
09:09:00, 415, 4, 1
09:09:10, 416, 2, 3
09:09:20, 417, 3, 4
09:09:30, 418, 3, 4
09:09:40, 419, 5, 3
09:09:50, 420, 3, 0
09:10:00, 421, 1, 3
09:10:10, 422, 4, 0
09:10:20, 423, 4, 1
09:10:30, 424, 3, 1
09:10:40, 425, 5, 1
09:10:50, 426, 4, 2
09:11:00, 427, 2, 0
09:11:10, 428, 0, 3
09:11:20, 429, 0, 3
09:11:30, 430, 0, 5
09:11:40, 431, 5, 4
09:11:50, 432, 0, 5
09:12:00, 433, 2, 4
09:12:10, 434, 2, 3
09:12:20, 435, 5, 3
09:12:30, 436, 0, 4
09:12:40, 437, 3, 4
09:12:50, 438, 0, 1
09:13:00, 439, 0, 1
09:13:10, 440, 4, 2
09:13:20, 441, 1, 3
09:13:30, 442, 1, 4
09:13:40, 443, 1, 4
09:13:50, 444, 3, 5
09:14:00, 445, 0, 1
